time_x,LW_u,LW_d
77079.7291666667,460.7735,388.8952
77079.75,457.0773,383.0803
77079.7708333333,453.1812,389.3442
77079.7916666667,440.2213,374.8037
77079.8125,437.1635,373.5029
77079.8333333333,427.1583,368.6099
77079.8541666667,421.3119,365.9649
77079.875,417.4283,362.5811
77079.8958333333,415.3949,360.2887
77079.9166666667,413.1941,359.452
77079.9375,413.3508,359.7406
77079.9583333333,414.3553,367.8115
77079.9791666667,419.8569,380.5052
77080,417.8635,363.8512
77080.0208333333,413.7516,358.6847
77080.0416666667,414.1657,377.3532
77080.0625,413.5356,380.0298
77080.0833333333,411.9212,391.9769
77080.1041666667,411.8627,400.7768
77080.125,412.0184,402.6072
77080.1458333333,413.2845,404.7216
77080.1666666667,413.3318,407.7738
77080.1875,413.5111,407.3398
77080.2083333333,412.9672,408.0934
77080.2291666667,412.2816,406.6302
77080.25,410.7791,389.9886
77080.2708333333,412.0215,395.1346
77080.2916666667,416.4649,405.5042
77080.3125,422.3656,413.2206
77080.3333333333,428.9474,415.1811
77080.3541666667,435.3203,408.0811
77080.375,454.7559,370.3539
77080.3958333333,467.9249,361.5506
77080.4166666667,478.1754,366.135
77080.4375,485.8992,372.8889
77080.4583333333,492.7864,377.9952
77080.4791666667,496.3635,382.0301
77080.5,498.0571,386.526
77080.5208333333,502.2484,385.2155
77080.5416666667,501.5211,382.8712
77080.5625,509.2256,385.6212
77080.5833333333,510.7406,391.3098
77080.6041666667,506.914,399.6159
77080.625,508.3823,402.0501
77080.6458333333,505.9798,396.3831
77080.6666666667,499.7396,399.0669
77080.6875,499.382,397.4871
77080.7083333333,495.2751,396.7856
77080.7291666667,488.5322,399.686
77080.75,481.5704,395.0265
77080.7708333333,473.4089,393.7296
77080.7916666667,464.7851,391.463
77080.8125,452.7792,387.9883
77080.8333333333,442.0628,385.1129
77080.8541666667,436.9544,381.71
77080.875,432.5642,378.0558
77080.8958333333,431.1049,375.5063
77080.9166666667,427.7193,371.8829
77080.9375,424.0772,370.5519
77080.9583333333,420.8213,367.8741
77080.9791666667,420.2476,366.9372
77081,418.7783,366.0695
77081.0208333333,416.942,364.0778
77081.0416666667,415.2815,362.8336
77081.0625,413.5523,360.7605
77081.0833333333,412.2401,359.2924
77081.1041666667,408.4638,356.3445
77081.125,405.9848,354.8303
77081.1458333333,404.3937,352.763
77081.1666666667,403.0092,351.7749
77081.1875,402.7747,351.7477
77081.2083333333,400.5291,350.4155
77081.2291666667,401.6113,349.6206
